Temps: 328s | Batterie: 0.60J | Paquets en attente: 5
Temps: 329s | Batterie: 0.60J | Paquets en attente: 5
Temps: 330s | Batterie: 0.60J | Paquets en attente: 5
Temps: 331s | Batterie: 0.60J | Paquets en attente: 5
Temps: 332s | Batterie: 0.60J | Paquets en attente: 5
Temps: 333s | Batterie: 0.60J | Paquets en attente: 5
Temps: 334s | Batterie: 0.60J | Paquets en attente: 5
Temps: 335s | Batterie: 0.60J | Paquets en attente: 5
Temps: 336s | Batterie: 0.60J | Paquets en attente: 5
Temps: 337s | Batterie: 0.60J | Paquets en attente: 5
Temps: 338s | Batterie: 0.60J | Paquets en attente: 5
Temps: 339s | Batterie: 0.60J | Paquets en attente: 5
Temps: 340s | Batterie: 0.60J | Paquets en attente: 5
Temps: 341s | Batterie: 0.60J | Paquets en attente: 5
Temps: 342s | Batterie: 0.60J | Paquets en attente: 5
Temps: 343s | Batterie: 0.60J | Paquets en attente: 5
Temps: 344s | Batterie: 0.60J | Paquets en attente: 5
Temps: 345s | Batterie: 0.60J | Paquets en attente: 5
Temps: 346s | Batterie: 0.60J | Paquets en attente: 5
Temps: 347s | Batterie: 0.60J | Paquets en attente: 5
Temps: 348s | Batterie: 0.60J | Paquets en attente: 5
Temps: 349s | Batterie: 0.60J | Paquets en attente: 5
Temps: 350s | Batterie: 0.60J | Paquets en attente: 5
Temps: 351s | Batterie: 0.60J | Paquets en attente: 5
Temps: 352s | Batterie: 0.60J | Paquets en attente: 5
Temps: 353s | Batterie: 0.60J | Paquets en attente: 5
Temps: 354s | Batterie: 0.60J | Paquets en attente: 5
Temps: 355s | Batterie: 0.60J | Paquets en attente: 5
Temps: 356s | Batterie: 0.60J | Paquets en attente: 5
Temps: 357s | Batterie: 0.60J | Paquets en attente: 5
Temps: 358s | Batterie: 0.60J | Paquets en attente: 5
Temps: 359s | Batterie: 0.60J | Paquets en attente: 5
Temps: 360s | Batterie: 0.60J | Paquets en attente: 5
Temps: 361s | Batterie: 0.60J | Paquets en attente: 5
Temps: 362s | Batterie: 0.60J | Paquets en attente: 5
Temps: 363s | Batterie: 0.60J | Paquets en attente: 5
Temps: 364s | Batterie: 0.60J | Paquets en attente: 5
Temps: 365s | Batterie: 0.60J | Paquets en attente: 5
Temps: 366s | Batterie: 0.60J | Paquets en attente: 5
Temps: 367s | Batterie: 0.60J | Paquets en attente: 5
Temps: 368s | Batterie: 0.60J | Paquets en attente: 5
Temps: 369s | Batterie: 0.60J | Paquets en attente: 5
Temps: 370s | Batterie: 0.60J | Paquets en attente: 5
Temps: 371s | Batterie: 0.60J | Paquets en attente: 5
Temps: 372s | Batterie: 0.60J | Paquets en attente: 5
